Transaction_ID,Timestamp,From_Account,To_Account,Amount,Channel,Sender_Age_Days,Receiver_Age_Days,Sender_Balance_Before,Sender_Balance_After,Layer_Depth,Pattern_Type,Is_Mule
TXN0006497,2024-01-02 10:08:48,ACC00900,ACC00427,463.08,PromptPay,3243,2057,44343.79,43880.71,0,Normal,0
TXN0000768,2024-01-02 11:44:52,ACC00115,ACC00799,5862.49,PromptPay,3632,3315,23379.54,17517.05,0,Normal,0
TXN0002269,2024-01-02 12:02:08,ACC00321,ACC00299,11806.86,Mobile_App,964,959,23225.83,11418.97,0,Normal,0
TXN0003413,2024-01-02 12:31:23,ACC00472,ACC00772,5041.48,Branch,1013,1489,32806.41,27764.93,0,Normal,0
TXN0004430,2024-01-02 12:39:49,ACC00613,ACC00853,415.15,PromptPay,2993,2042,54725.2,54310.05,0,Normal,0
TXN0000933,2024-01-02 12:40:19,ACC00140,ACC00322,6973.34,Mobile_App,1190,959,-15546.82,-22520.16,0,Normal,0
TXN0005103,2024-01-02 13:36:07,ACC00704,ACC00119,11867.82,Mobile_App,3122,1118,6238.9,-5628.92,0,Normal,0
TXN0003274,2024-01-02 13:36:49,ACC00455,ACC00797,6882.32,Mobile_App,2451,3028,-108.47,-6990.79,0,Normal,0
TXN0001064,2024-01-02 14:00:57,ACC00161,ACC00010,8121.57,PromptPay,835,599,21835.77,13714.2,0,Normal,0
TXN0005502,2024-01-02 14:34:57,ACC00763,ACC00289,1566.29,Branch,1159,721,32411.76,30845.47,0,Normal,0
TXN0005436,2024-01-02 15:56:15,ACC00754,ACC00557,6792.12,PromptPay,1192,1091,42088.57,35296.45,0,Normal,0
TXN0006817,2024-01-02 16:21:01,ACC00941,ACC00579,10797.19,ATM,2252,1817,27958.39,17161.2,0,Normal,0
TXN0002796,2024-01-02 18:09:08,ACC00392,ACC00865,10455.28,PromptPay,458,2106,51058.83,40603.55,0,Normal,0
TXN0001349,2024-01-02 18:09:49,ACC00201,ACC00672,1887.08,Mobile_App,3627,3194,13085.52,11198.44,0,Normal,0
TXN0002700,2024-01-02 18:29:53,ACC00380,ACC00565,1873.7,Mobile_App,385,1112,20297.56,18423.86,0,Normal,0
TXN0004582,2024-01-02 18:36:41,ACC00634,ACC00872,2492.79,PromptPay,1516,2842,4370.52,1877.73,0,Normal,0
TXN0004077,2024-01-02 19:58:45,ACC00565,ACC00226,1022.75,Branch,1112,2503,20329.84,19307.09,0,Normal,0
TXN0002307,2024-01-02 21:04:49,ACC00325,ACC00789,9563.95,ATM,754,1883,-1540.38,-11104.33,0,Normal,0
TXN0004800,2024-01-03 03:34:18,ACC00668,ACC00298,9497.03,Mobile_App,2273,1847,40106.59,30609.56,0,Normal,0
TXN0005110,2024-01-03 06:35:35,ACC00704,ACC00909,1583.85,Mobile_App,3122,285,-42782.8,-44366.65,0,Normal,0
TXN0006867,2024-01-03 07:56:18,ACC00948,ACC00580,2185.89,Mobile_App,612,2963,38611.91,36426.02,0,Normal,0
TXN0006673,2024-01-03 09:00:57,ACC00923,ACC00126,7846.92,Branch,597,451,48479.73,40632.81,0,Normal,0
TXN0003989,2024-01-03 09:50:12,ACC00552,ACC00300,10731.81,PromptPay,3052,566,46096.32,35364.51,0,Normal,0
TXN0004130,2024-01-03 10:21:01,ACC00573,ACC00674,2342.15,PromptPay,464,2878,54480.02,52137.87,0,Normal,0
TXN0002412,2024-01-03 10:46:16,ACC00339,ACC00878,7778.76,PromptPay,3604,307,12813.31,5034.55,0,Normal,0
TXN0003089,2024-01-03 11:12:47,ACC00428,ACC00166,6540.01,Mobile_App,2724,440,43241.1,36701.09,0,Normal,0
TXN0000489,2024-01-03 11:50:14,ACC00073,ACC00730,8916.82,Branch,3065,726,-17617.08,-26533.9,0,Normal,0
TXN0000981,2024-01-03 12:00:10,ACC00147,ACC00672,5803.87,Branch,1934,3194,35206.7,29402.83,0,Normal,0
TXN0006275,2024-01-03 12:14:25,ACC00869,ACC00388,8795.89,Branch,393,508,16536.77,7740.88,0,Normal,0
TXN0001735,2024-01-03 13:22:06,ACC00250,ACC00483,6665.47,Mobile_App,3005,1914,-26121.17,-32786.64,0,Normal,0
TXN0000482,2024-01-03 14:25:34,ACC00072,ACC00561,11371.71,Branch,967,1612,-10147.79,-21519.5,0,Normal,0
TXN0005766,2024-01-03 14:36:48,ACC00798,ACC00100,3748.38,Mobile_App,260,2780,13449.72,9701.34,0,Normal,0
TXN0003463,2024-01-03 16:26:01,ACC00478,ACC00542,1851.26,PromptPay,1208,3384,28708.43,26857.17,0,Normal,0
TXN0006028,2024-01-03 17:52:54,ACC00834,ACC00236,6902.14,ATM,2728,695,13225.37,6323.23,0,Normal,0
TXN0004922,2024-01-03 18:20:21,ACC00682,ACC00509,9236.84,Branch,562,2565,3048.68,-6188.16,0,Normal,0
TXN0001421,2024-01-03 19:26:02,ACC00212,ACC00016,461.02,Branch,2352,1908,3173.54,2712.52,0,Normal,0
TXN0000834,2024-01-03 21:34:32,ACC00125,ACC00340,7819.84,Mobile_App,1276,240,49240.4,41420.56,0,Normal,0
TXN0000162,2024-01-03 21:59:10,ACC00024,ACC00417,7886.78,PromptPay,288,1801,-5951.98,-13838.76,0,Normal,0
TXN0007272,2024-01-04 00:45:13,MULE_L2_005,MULE_L3_009,6382.53,PromptPay,83,168,153840.47,147457.94,3,Fan-in,1
TXN0007273,2024-01-04 00:56:13,MULE_L3_009,CASH_OUT,3121.57,Mobile_App,168,0,59658.91,56537.34,3,Cash-out,1
TXN0004743,2024-01-04 05:05:50,ACC00659,ACC00816,9855.35,PromptPay,2555,1083,68877.95,59022.6,0,Normal,0
TXN0004170,2024-01-04 08:41:24,ACC00578,ACC00761,9711.96,Mobile_App,2266,2164,32171.67,22459.71,0,Normal,0
TXN0000785,2024-01-04 09:05:45,ACC00117,ACC00668,7185.71,Mobile_App,3358,2273,-35263.3,-42449.01,0,Normal,0
TXN0004773,2024-01-04 09:20:22,ACC00663,ACC00674,7487.86,PromptPay,2084,2878,19920.51,12432.65,0,Normal,0
TXN0002867,2024-01-04 09:27:44,ACC00400,ACC00173,1322.85,Branch,2615,2446,19418.95,18096.1,0,Normal,0
TXN0003443,2024-01-04 10:34:30,ACC00475,ACC00505,641.15,PromptPay,1261,2414,49650.91,49009.76,0,Normal,0
TXN0000675,2024-01-04 10:35:17,ACC00100,ACC00635,7599.33,Mobile_App,2780,1828,-27388.89,-34988.22,0,Normal,0
TXN0002860,2024-01-04 10:43:21,ACC00399,ACC00946,10958.32,Mobile_App,2551,3548,2701.97,-8256.35,0,Normal,0
TXN0001008,2024-01-04 10:51:30,ACC00152,ACC00350,3548.09,Mobile_App,746,420,16129.1,12581.01,0,Normal,0
TXN0005426,2024-01-04 10:51:47,ACC00753,ACC00595,1236.15,PromptPay,3259,3164,19638.4,18402.25,0,Normal,0
TXN0003249,2024-01-04 12:19:15,ACC00450,ACC00417,787.45,ATM,2858,1801,16321.03,15533.58,0,Normal,0
TXN0003513,2024-01-04 13:52:53,ACC00484,ACC00316,7387.34,Mobile_App,3577,3162,37553.64,30166.3,0,Normal,0
TXN0000576,2024-01-04 14:12:26,ACC00086,ACC00904,6792.57,Mobile_App,2783,3535,-12809.5,-19602.07,0,Normal,0
TXN0005874,2024-01-04 15:29:40,ACC00812,ACC00154,2107.03,Branch,3189,2201,54645.34,52538.31,0,Normal,0
TXN0004252,2024-01-04 16:19:28,ACC00587,ACC00422,4309.79,Branch,911,2052,45059.39,40749.6,0,Normal,0
TXN0004814,2024-01-04 16:37:30,ACC00670,ACC00121,10065.72,PromptPay,3431,311,44581.89,34516.17,0,Normal,0
TXN0001523,2024-01-04 17:39:44,ACC00224,ACC00206,1509.3,Mobile_App,417,806,20357.25,18847.95,0,Normal,0
TXN0002286,2024-01-04 19:10:16,ACC00323,ACC00426,1254.61,Branch,2376,218,23396.59,22141.98,0,Normal,0
TXN0002371,2024-01-04 20:31:52,ACC00333,ACC00222,9579.31,Branch,3489,1439,26046.21,16466.9,0,Normal,0
TXN0002319,2024-01-04 21:55:29,ACC00326,ACC00088,1738.84,Mobile_App,1908,1674,15097.13,13358.29,0,Normal,0
TXN0001141,2024-01-04 22:28:04,ACC00174,ACC00845,4880.96,PromptPay,227,735,40763.16,35882.2,0,Normal,0
TXN0006470,2024-01-05 05:08:36,ACC00897,ACC00254,2720.16,PromptPay,867,1814,49275.27,46555.11,0,Normal,0
TXN0000638,2024-01-05 06:42:17,ACC00096,ACC00679,10247.18,PromptPay,2979,2772,33816.62,23569.44,0,Normal,0
TXN0003354,2024-01-05 09:23:02,ACC00464,ACC00833,7838.02,Branch,2446,702,29797.97,21959.95,0,Normal,0
TXN0006183,2024-01-05 09:48:24,ACC00856,ACC00249,6191.12,Branch,3297,3169,19506.44,13315.32,0,Normal,0
TXN0005716,2024-01-05 11:34:55,ACC00792,ACC00524,11098.55,Mobile_App,3591,601,55853.41,44754.86,0,Normal,0
TXN0000385,2024-01-05 13:08:41,ACC00060,ACC00178,7273.53,Mobile_App,2061,2972,3112.47,-4161.06,0,Normal,0
TXN0006595,2024-01-05 14:22:17,ACC00910,ACC00136,10468.19,PromptPay,1457,2059,31435.99,20967.8,0,Normal,0
TXN0002825,2024-01-05 14:34:59,ACC00395,ACC00342,10842.41,Mobile_App,1833,3266,37271.2,26428.79,0,Normal,0
TXN0003338,2024-01-05 15:04:13,ACC00462,ACC00449,4187.6,Mobile_App,618,3485,26933.7,22746.1,0,Normal,0
TXN0005252,2024-01-05 15:58:46,ACC00726,ACC00919,2847.79,Mobile_App,2463,3008,-38321.47,-41169.26,0,Normal,0
TXN0006365,2024-01-05 16:33:54,ACC00881,ACC00019,3985.02,PromptPay,3617,563,60208.0,56222.98,0,Normal,0
TXN0002047,2024-01-05 16:47:51,ACC00288,ACC00350,10461.39,PromptPay,2388,420,4944.2,-5517.19,0,Normal,0
TXN0003113,2024-01-05 17:47:19,ACC00431,ACC00908,1767.57,Branch,480,2550,11463.67,9696.1,0,Normal,0
TXN0004079,2024-01-05 18:27:31,ACC00566,ACC00208,7315.22,PromptPay,1093,3303,37964.43,30649.21,0,Normal,0
TXN0005938,2024-01-05 18:34:59,ACC00821,ACC00745,2544.95,PromptPay,2169,3582,3312.58,767.63,0,Normal,0
TXN0001016,2024-01-05 18:57:33,ACC00153,ACC00626,11057.34,Mobile_App,2267,2897,35614.16,24556.82,0,Normal,0
TXN0002864,2024-01-05 19:09:29,ACC00399,ACC00379,4341.62,Mobile_App,2551,414,-31834.52,-36176.14,0,Normal,0
TXN0004386,2024-01-05 20:30:53,ACC00608,ACC00604,3433.57,Branch,1966,958,47619.15,44185.58,0,Normal,0
TXN0006202,2024-01-05 21:34:12,ACC00858,ACC00517,8862.51,ATM,1319,3440,33175.36,24312.85,0,Normal,0
TXN0000242,2024-01-06 07:14:32,ACC00038,ACC00765,6297.75,PromptPay,3288,1981,-2997.09,-9294.84,0,Normal,0
TXN0002200,2024-01-06 08:39:46,ACC00311,ACC00284,3517.63,Mobile_App,2856,1320,51274.24,47756.61,0,Normal,0
TXN0006127,2024-01-06 09:43:31,ACC00848,ACC00626,733.59,Mobile_App,385,2897,38446.48,37712.89,0,Normal,0
TXN0002494,2024-01-06 09:57:58,ACC00352,ACC00169,8184.69,Mobile_App,1732,2620,37991.38,29806.69,0,Normal,0
TXN0003357,2024-01-06 10:06:47,ACC00465,ACC00436,7268.14,Branch,816,722,18411.36,11143.22,0,Normal,0
TXN0003029,2024-01-06 10:14:12,ACC00420,ACC00260,4988.25,PromptPay,2823,2029,-41799.13,-46787.38,0,Normal,0
TXN0003637,2024-01-06 10:55:40,ACC00503,ACC00158,9129.57,ATM,3010,629,57621.91,48492.34,0,Normal,0
TXN0003122,2024-01-06 11:10:07,ACC00432,ACC00856,10668.41,Mobile_App,2382,3297,28067.71,17399.3,0,Normal,0
TXN0004505,2024-01-06 12:11:07,ACC00623,ACC00341,11078.94,Mobile_App,1532,562,-8049.41,-19128.35,0,Normal,0
TXN0001988,2024-01-06 12:26:24,ACC00281,ACC00285,10135.22,Mobile_App,470,2920,-17854.61,-27989.83,0,Normal,0
TXN0003031,2024-01-06 12:27:09,ACC00420,ACC00795,5818.9,PromptPay,2823,3333,-52344.47,-58163.37,0,Normal,0
TXN0005371,2024-01-06 13:04:48,ACC00746,ACC00046,7591.43,Branch,2424,1061,82210.9,74619.47,0,Normal,0
TXN0001746,2024-01-06 13:42:25,ACC00252,ACC00433,9290.61,Mobile_App,3100,1053,27184.36,17893.75,0,Normal,0
TXN0001403,2024-01-06 14:57:38,ACC00210,ACC00204,1072.03,PromptPay,2389,2674,40478.81,39406.78,0,Normal,0
TXN0000431,2024-01-06 15:10:32,ACC00067,ACC00870,5711.07,PromptPay,3577,1613,39757.46,34046.39,0,Normal,0
TXN0000755,2024-01-06 15:53:04,ACC00114,ACC00013,5023.3,PromptPay,1508,2413,27212.68,22189.38,0,Normal,0
TXN0002040,2024-01-06 16:01:19,ACC00288,ACC00390,2515.76,PromptPay,2388,460,45845.44,43329.68,0,Normal,0
TXN0004246,2024-01-06 16:11:19,ACC00586,ACC00136,7857.91,PromptPay,1249,2059,41107.78,33249.87,0,Normal,0
TXN0003121,2024-01-06 17:10:42,ACC00432,ACC00656,6250.02,Mobile_App,2382,1040,34317.73,28067.71,0,Normal,0
TXN0001372,2024-01-06 17:19:12,ACC00206,ACC00565,2540.45,ATM,806,1112,19332.25,16791.8,0,Normal,0
TXN0006524,2024-01-06 17:48:03,ACC00902,ACC00703,7764.65,Mobile_App,649,976,34496.02,26731.37,0,Normal,0
TXN0000868,2024-01-06 17:50:07,ACC00131,ACC00943,7281.23,Mobile_App,1050,1577,30095.76,22814.53,0,Normal,0
TXN0004537,2024-01-06 18:24:46,ACC00628,ACC00605,8787.63,Mobile_App,3128,1223,24221.3,15433.67,0,Normal,0
TXN0005450,2024-01-06 18:36:51,ACC00756,ACC00385,3328.99,ATM,2791,824,38117.07,34788.08,0,Normal,0
TXN0005504,2024-01-06 18:47:17,ACC00764,ACC00452,878.63,Branch,1304,212,52978.75,52100.12,0,Normal,0
TXN0004792,2024-01-06 23:08:08,ACC00666,ACC00247,3968.53,Mobile_App,2947,2388,53010.56,49042.03,0,Normal,0
TXN0000210,2024-01-07 01:46:17,ACC00033,ACC00549,11733.13,Branch,2019,1272,7839.62,-3893.51,0,Normal,0
TXN0006775,2024-01-07 04:18:02,ACC00935,ACC00024,3620.73,PromptPay,1602,288,31846.78,28226.05,0,Normal,0
TXN0004015,2024-01-07 07:25:33,ACC00556,ACC00326,4669.98,PromptPay,2107,1908,-9713.54,-14383.52,0,Normal,0
TXN0005320,2024-01-07 07:55:46,ACC00737,ACC00538,11416.52,Mobile_App,1479,281,3694.43,-7722.09,0,Normal,0
TXN0003600,2024-01-07 08:20:10,ACC00498,ACC00623,8419.1,Mobile_App,1931,1532,28255.06,19835.96,0,Normal,0
TXN0005581,2024-01-07 08:21:38,ACC00772,ACC00820,11064.13,Mobile_App,1489,1965,-6278.66,-17342.79,0,Normal,0
TXN0002841,2024-01-07 09:57:37,ACC00397,ACC00122,185.6,Mobile_App,2513,3477,22819.54,22633.94,0,Normal,0
TXN0001171,2024-01-07 10:39:48,ACC00178,ACC00919,1620.07,Mobile_App,2972,3008,-12922.61,-14542.68,0,Normal,0
TXN0004681,2024-01-07 11:26:25,ACC00647,ACC00442,664.82,PromptPay,2701,826,112141.5,111476.68,0,Normal,0
TXN0001164,2024-01-07 11:29:14,ACC00177,ACC00068,7946.85,Mobile_App,649,2754,-13824.84,-21771.69,0,Normal,0
TXN0005855,2024-01-07 12:06:42,ACC00809,ACC00571,2210.6,PromptPay,1896,1524,59128.09,56917.49,0,Normal,0
TXN0001125,2024-01-07 12:32:48,ACC00171,ACC00153,10405.77,Mobile_App,2347,2267,30091.43,19685.66,0,Normal,0
TXN0001090,2024-01-07 14:04:37,ACC00165,ACC00809,10113.24,ATM,2622,1896,12272.56,2159.32,0,Normal,0
TXN0001336,2024-01-07 14:24:24,ACC00199,ACC00022,1453.92,Mobile_App,2741,2249,-3057.39,-4511.31,0,Normal,0
TXN0003469,2024-01-07 15:50:39,ACC00479,ACC00266,3504.9,Mobile_App,3645,266,20967.63,17462.73,0,Normal,0
TXN0001338,2024-01-07 17:00:50,ACC00200,ACC00109,6577.09,Branch,1402,2801,65368.66,58791.57,0,Normal,0
TXN0001298,2024-01-07 17:15:03,ACC00194,ACC00695,9983.55,PromptPay,2230,2126,-14347.96,-24331.51,0,Normal,0
TXN0000369,2024-01-07 17:39:37,ACC00058,ACC00536,9412.98,Mobile_App,357,905,-24534.45,-33947.43,0,Normal,0
TXN0004666,2024-01-07 18:09:16,ACC00645,ACC00681,832.29,ATM,3244,1552,31327.41,30495.12,0,Normal,0
TXN0001810,2024-01-07 18:54:52,ACC00259,ACC00802,9484.07,Branch,2299,2133,-14179.44,-23663.51,0,Normal,0
TXN0002776,2024-01-07 19:25:58,ACC00389,ACC00380,3694.23,Mobile_App,941,385,-42726.26,-46420.49,0,Normal,0
TXN0006120,2024-01-07 21:53:34,ACC00847,ACC00004,8287.78,PromptPay,924,3217,33380.68,25092.9,0,Normal,0
TXN0007252,2024-01-08 00:32:32,MULE_L2_016,MULE_L3_002,3700.13,Mobile_App,53,142,43516.86,39816.73,3,Fan-in,1
TXN0007253,2024-01-08 00:51:32,MULE_L2_004,MULE_L3_002,1137.14,PromptPay,28,142,84166.42,83029.28,3,Fan-in,1
TXN0007254,2024-01-08 01:22:32,MULE_L3_002,CASH_OUT,6036.4,Mobile_App,142,0,52619.6,46583.2,3,Cash-out,1
TXN0003315,2024-01-08 04:59:06,ACC00459,ACC00826,6196.58,PromptPay,730,2961,35448.24,29251.66,0,Normal,0
TXN0003128,2024-01-08 08:28:50,ACC00434,ACC00380,10995.1,Mobile_App,2252,385,29945.48,18950.38,0,Normal,0
TXN0000199,2024-01-08 09:12:47,ACC00031,ACC00121,9000.52,ATM,1898,311,-21063.67,-30064.19,0,Normal,0
TXN0005849,2024-01-08 10:41:31,ACC00808,ACC00322,3863.43,Branch,3603,959,-28354.28,-32217.71,0,Normal,0
TXN0003358,2024-01-08 11:14:02,ACC00465,ACC00151,1346.07,ATM,816,1078,11143.22,9797.15,0,Normal,0
TXN0003925,2024-01-08 11:21:35,ACC00544,ACC00331,11500.19,ATM,3465,488,64230.15,52729.96,0,Normal,0
TXN0003429,2024-01-08 11:38:49,ACC00474,ACC00888,3328.19,Mobile_App,2777,2922,45432.71,42104.52,0,Normal,0
TXN0002351,2024-01-08 12:48:33,ACC00330,ACC00067,7099.84,Mobile_App,1203,3577,-9828.8,-16928.64,0,Normal,0
TXN0006806,2024-01-08 13:22:26,ACC00940,ACC00771,10309.62,Mobile_App,462,1555,33587.78,23278.16,0,Normal,0
TXN0004960,2024-01-08 13:54:11,ACC00687,ACC00571,10863.33,PromptPay,1451,1524,1757.5,-9105.83,0,Normal,0
TXN0006174,2024-01-08 14:10:42,ACC00855,ACC00592,3499.84,Branch,1562,2623,70273.18,66773.34,0,Normal,0
TXN0002475,2024-01-08 14:51:27,ACC00349,ACC00101,8113.34,PromptPay,1822,880,13355.76,5242.42,0,Normal,0
TXN0006434,2024-01-08 15:00:00,ACC00893,ACC00731,3292.25,ATM,3045,3462,54146.07,50853.82,0,Normal,0
TXN0006020,2024-01-08 15:14:53,ACC00833,ACC00501,2159.52,Branch,702,638,55293.9,53134.38,0,Normal,0
TXN0002752,2024-01-08 15:41:48,ACC00387,ACC00933,9635.37,PromptPay,2260,3385,20027.76,10392.39,0,Normal,0
TXN0005403,2024-01-08 18:48:18,ACC00749,ACC00525,6719.72,PromptPay,3226,1628,8169.18,1449.46,0,Normal,0
TXN0001683,2024-01-08 20:17:18,ACC00244,ACC00841,10951.4,Branch,2664,291,22455.95,11504.55,0,Normal,0
TXN0000656,2024-01-08 20:26:14,ACC00099,ACC00761,8105.37,Mobile_App,2675,2164,-3252.43,-11357.8,0,Normal,0
TXN0005263,2024-01-08 21:51:43,ACC00728,ACC00581,4686.97,Branch,677,3635,18019.61,13332.64,0,Normal,0
TXN0001866,2024-01-09 00:51:26,ACC00266,ACC00410,11544.59,Mobile_App,266,1248,5600.46,-5944.13,0,Normal,0
TXN0000775,2024-01-09 04:03:21,ACC00116,ACC00807,8693.99,Mobile_App,3327,1777,10549.26,1855.27,0,Normal,0
TXN0003036,2024-01-09 07:45:10,ACC00422,ACC00168,7993.72,Mobile_App,2052,1743,28009.26,20015.54,0,Normal,0
TXN0002091,2024-01-09 08:55:20,ACC00294,ACC00566,5803.65,Mobile_App,1175,1093,-51061.0,-56864.65,0,Normal,0
TXN0003566,2024-01-09 09:51:36,ACC00493,ACC00508,3958.56,ATM,841,1692,23030.6,19072.04,0,Normal,0
TXN0001706,2024-01-09 11:43:54,ACC00247,ACC00922,3900.29,Branch,2388,1174,26245.9,22345.61,0,Normal,0
TXN0003253,2024-01-09 14:19:47,ACC00451,ACC00844,5436.02,Branch,2346,1935,19033.21,13597.19,0,Normal,0
TXN0004046,2024-01-09 15:23:09,ACC00560,ACC00166,11243.6,Branch,2065,440,48896.77,37653.17,0,Normal,0
TXN0000099,2024-01-09 15:36:15,ACC00016,ACC00736,1851.39,PromptPay,1908,2618,1754.38,-97.01,0,Normal,0
TXN0000984,2024-01-09 16:12:54,ACC00148,ACC00028,2629.37,PromptPay,2570,2841,45262.78,42633.41,0,Normal,0
TXN0006553,2024-01-09 17:05:23,ACC00905,ACC00061,9502.13,Branch,850,2376,37644.46,28142.33,0,Normal,0
TXN0006415,2024-01-09 17:50:42,ACC00891,ACC00293,5626.14,ATM,1072,2116,72820.9,67194.76,0,Normal,0
TXN0003916,2024-01-09 18:01:57,ACC00542,ACC00308,1362.57,Mobile_App,3384,3166,13845.91,12483.34,0,Normal,0
TXN0003289,2024-01-09 18:45:49,ACC00457,ACC00553,10936.46,PromptPay,2897,622,53782.98,42846.52,0,Normal,0
TXN0004337,2024-01-09 20:47:55,ACC00599,ACC00689,2122.83,Branch,2663,3483,29014.55,26891.72,0,Normal,0
TXN0005640,2024-01-09 23:32:25,ACC00780,ACC00166,11691.77,Mobile_App,805,440,17768.15,6076.38,0,Normal,0
TXN0000435,2024-01-10 07:26:02,ACC00068,ACC00571,6656.82,Branch,2754,1524,53795.66,47138.84,0,Normal,0
TXN0000693,2024-01-10 09:43:21,ACC00103,ACC00819,11006.81,Branch,3166,1297,8013.79,-2993.02,0,Normal,0
TXN0003057,2024-01-10 10:53:33,ACC00424,ACC00512,6176.61,PromptPay,3259,1940,-31813.92,-37990.53,0,Normal,0
TXN0003611,2024-01-10 11:38:57,ACC00500,ACC00482,8185.73,PromptPay,219,2778,4531.15,-3654.58,0,Normal,0
TXN0005322,2024-01-10 11:40:51,ACC00737,ACC00675,7293.02,ATM,1479,527,-17654.48,-24947.5,0,Normal,0
TXN0006624,2024-01-10 11:45:39,ACC00916,ACC00906,6352.92,Mobile_App,992,1454,68063.78,61710.86,0,Normal,0
TXN0004653,2024-01-10 12:14:46,ACC00644,ACC00742,8586.26,Mobile_App,2954,3126,32825.72,24239.46,0,Normal,0
TXN0002075,2024-01-10 12:26:15,ACC00292,ACC00215,11343.23,PromptPay,2540,1507,23911.14,12567.91,0,Normal,0
TXN0000908,2024-01-10 15:33:55,ACC00136,ACC00192,6985.59,Mobile_App,2059,3127,3694.47,-3291.12,0,Normal,0
TXN0004485,2024-01-10 16:09:03,ACC00621,ACC00212,6698.51,PromptPay,466,2352,36525.38,29826.87,0,Normal,0
TXN0005916,2024-01-10 17:43:59,ACC00818,ACC00816,9146.95,PromptPay,1078,1083,4556.7,-4590.25,0,Normal,0
TXN0002447,2024-01-10 20:12:55,ACC00344,ACC00057,6315.04,Mobile_App,861,3485,600.42,-5714.62,0,Normal,0
TXN0004567,2024-01-11 08:10:46,ACC00632,ACC00721,7924.59,Mobile_App,2911,3473,22996.44,15071.85,0,Normal,0
TXN0002385,2024-01-11 09:18:24,ACC00336,ACC00792,6495.06,ATM,387,3591,831.6,-5663.46,0,Normal,0
TXN0006295,2024-01-11 10:07:45,ACC00872,ACC00691,6038.42,Branch,2842,783,5788.6,-249.82,0,Normal,0
